"Label (Grouping)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"Census Tract 1011.10, Los Angeles County, California",""
"    Total",""
"        Estimate","4.0%"
"        Margin of Error","±2.6"
"    Male",""
"        Estimate","3.1%"
"        Margin of Error","±4.5"
"    Female",""
"        Estimate","5.1%"
"        Margin of Error","±3.4"
"Census Tract 1011.22, Los Angeles County, California",""
"    Total",""
"        Estimate","4.2%"
"        Margin of Error","±2.5"
"    Male",""
"        Estimate","2.1%"
"        Margin of Error","±2.5"
"    Female",""
"        Estimate","6.8%"
"        Margin of Error","±4.4"
"Census Tract 1012.10, Los Angeles County, California",""
"    Total",""
"        Estimate","4.2%"
"        Margin of Error","±3.0"
"    Male",""
"        Estimate","3.3%"
"        Margin of Error","±3.1"
"    Female",""
"        Estimate","5.4%"
"        Margin of Error","±5.3"
"Census Tract 1012.20, Los Angeles County, California",""
"    Total",""
"        Estimate","4.3%"
"        Margin of Error","±3.0"
"    Male",""
"        Estimate","0.7%"
"        Margin of Error","±1.2"
"    Female",""
"        Estimate","7.6%"
"        Margin of Error","±6.0"
"Census Tract 1013, Los Angeles County, California",""
"    Total",""
"        Estimate","12.2%"
"        Margin of Error","±4.4"
"    Male",""
"        Estimate","14.7%"
"        Margin of Error","±6.8"
"    Female",""
"        Estimate","9.8%"
"        Margin of Error","±5.0"
"Census Tract 1014, Los Angeles County, California",""
"    Total",""
"        Estimate","5.7%"
"        Margin of Error","±3.8"
"    Male",""
"        Estimate","3.9%"
"        Margin of Error","±3.6"
"    Female",""
"        Estimate","7.9%"
"        Margin of Error","±7.0"
"Census Tract 1021.03, Los Angeles County, California",""
"    Total",""
"        Estimate","7.6%"
"        Margin of Error","±5.1"
"    Male",""
"        Estimate","10.9%"
"        Margin of Error","±8.4"
"    Female",""
"        Estimate","3.1%"
"        Margin of Error","±2.9"
"Census Tract 1021.04, Los Angeles County, California",""
"    Total",""
"        Estimate","18.7%"
"        Margin of Error","±7.7"
"    Male",""
"        Estimate","21.7%"
"        Margin of Error","±12.0"
"    Female",""
"        Estimate","15.9%"
"        Margin of Error","±7.9"
"Census Tract 1021.05, Los Angeles County, California",""
"    Total",""
"        Estimate","0.6%"
"        Margin of Error","±0.9"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±5.9"
"    Female",""
"        Estimate","1.3%"
"        Margin of Error","±2.0"
"Census Tract 1021.07, Los Angeles County, California",""
"    Total",""
"        Estimate","2.3%"
"        Margin of Error","±2.1"
"    Male",""
"        Estimate","0.9%"
"        Margin of Error","±1.7"
"    Female",""
"        Estimate","3.9%"
"        Margin of Error","±4.2"
"Census Tract 1031.01, Los Angeles County, California",""
"    Total",""
"        Estimate","2.6%"
"        Margin of Error","±2.0"
"    Male",""
"        Estimate","2.3%"
"        Margin of Error","±2.8"
"    Female",""
"        Estimate","2.8%"
"        Margin of Error","±2.7"
"Census Tract 1031.02, Los Angeles County, California",""
"    Total",""
"        Estimate","2.0%"
"        Margin of Error","±1.6"
"    Male",""
"        Estimate","0.7%"
"        Margin of Error","±1.1"
"    Female",""
"        Estimate","3.1%"
"        Margin of Error","±3.2"
"Census Tract 1032, Los Angeles County, California",""
"    Total",""
"        Estimate","3.9%"
"        Margin of Error","±4.4"
"    Male",""
"        Estimate","1.1%"
"        Margin of Error","±1.8"
"    Female",""
"        Estimate","7.6%"
"        Margin of Error","±9.5"
"Census Tract 1033, Los Angeles County, California",""
"    Total",""
"        Estimate","9.0%"
"        Margin of Error","±4.9"
"    Male",""
"        Estimate","10.8%"
"        Margin of Error","±5.5"
"    Female",""
"        Estimate","6.6%"
"        Margin of Error","±6.2"
"Census Tract 1034, Los Angeles County, California",""
"    Total",""
"        Estimate","6.4%"
"        Margin of Error","±3.7"
"    Male",""
"        Estimate","2.8%"
"        Margin of Error","±2.5"
"    Female",""
"        Estimate","9.8%"
"        Margin of Error","±7.1"
"Census Tract 1041.03, Los Angeles County, California",""
"    Total",""
"        Estimate","8.0%"
"        Margin of Error","±4.9"
"    Male",""
"        Estimate","6.3%"
"        Margin of Error","±5.1"
"    Female",""
"        Estimate","10.5%"
"        Margin of Error","±8.2"
"Census Tract 1041.05, Los Angeles County, California",""
"    Total",""
"        Estimate","3.6%"
"        Margin of Error","±2.5"
"    Male",""
"        Estimate","1.3%"
"        Margin of Error","±2.1"
"    Female",""
"        Estimate","6.1%"
"        Margin of Error","±4.5"
"Census Tract 1041.08, Los Angeles County, California",""
"    Total",""
"        Estimate","0.0%"
"        Margin of Error","±1.3"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±2.3"
"    Female",""
"        Estimate","0.0%"
"        Margin of Error","±3.0"
"Census Tract 1041.24, Los Angeles County, California",""
"    Total",""
"        Estimate","2.6%"
"        Margin of Error","±2.6"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±4.6"
"    Female",""
"        Estimate","5.0%"
"        Margin of Error","±5.0"
"Census Tract 1042.01, Los Angeles County, California",""
"    Total",""
"        Estimate","1.9%"
"        Margin of Error","±1.6"
"    Male",""
"        Estimate","0.5%"
"        Margin of Error","±0.7"
"    Female",""
"        Estimate","3.8%"
"        Margin of Error","±3.4"
"Census Tract 1042.03, Los Angeles County, California",""
"    Total",""
"        Estimate","0.8%"
"        Margin of Error","±1.4"
"    Male",""
"        Estimate","1.3%"
"        Margin of Error","±2.3"
"    Female",""
"        Estimate","0.0%"
"        Margin of Error","±3.6"
"Census Tract 1042.04, Los Angeles County, California",""
"    Total",""
"        Estimate","1.1%"
"        Margin of Error","±1.3"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±4.0"
"    Female",""
"        Estimate","2.6%"
"        Margin of Error","±3.1"
"Census Tract 1043.10, Los Angeles County, California",""
"    Total",""
"        Estimate","0.5%"
"        Margin of Error","±0.8"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±2.5"
"    Female",""
"        Estimate","1.4%"
"        Margin of Error","±1.9"
"Census Tract 1043.20, Los Angeles County, California",""
"    Total",""
"        Estimate","0.6%"
"        Margin of Error","±1.2"
"    Male",""
"        Estimate","0.9%"
"        Margin of Error","±1.8"
"    Female",""
"        Estimate","0.0%"
"        Margin of Error","±3.6"
"Census Tract 1044.01, Los Angeles County, California",""
"    Total",""
"        Estimate","1.1%"
"        Margin of Error","±1.4"
"    Male",""
"        Estimate","0.9%"
"        Margin of Error","±1.4"
"    Female",""
"        Estimate","1.4%"
"        Margin of Error","±2.3"
"Census Tract 1044.03, Los Angeles County, California",""
"    Total",""
"        Estimate","6.3%"
"        Margin of Error","±3.7"
"    Male",""
"        Estimate","5.2%"
"        Margin of Error","±5.1"
"    Female",""
"        Estimate","7.7%"
"        Margin of Error","±6.4"
"Census Tract 1044.04, Los Angeles County, California",""
"    Total",""
"        Estimate","3.1%"
"        Margin of Error","±2.6"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±4.6"
"    Female",""
"        Estimate","7.7%"
"        Margin of Error","±6.4"
"Census Tract 1045, Los Angeles County, California",""
"    Total",""
"        Estimate","0.1%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","0.0%"
"        Margin of Error","±4.3"
"    Female",""
"        Estimate","0.3%"
"        Margin of Error","±0.7"
"Census Tract 1046.10, Los Angeles County, California",""
"    Total",""
"        Estimate","3.2%"
"        Margin of Error","±3.5"
"    Male",""
"        Estimate","2.0%"
"        Margin of Error","±2.6"
"    Female",""
"        Estimate","4.9%"
"        Margin of Error","±5.2"
"Census Tract 1046.20, Los Angeles County, California",""
"    Total",""
"        Estimate","1.1%"
"        Margin of Error","±1.1"
"    Male",""
"        Estimate","0.6%"
"        Margin of Error","±1.0"
"    Female",""
"        Estimate","2.0%"
"        Margin of Error","±2.2"
"Census Tract 1047.01, Los Angeles County, California",""
